segment_index,pyannote_speaker,assigned_speaker,cluster_best_speaker,cluster_best_score,cluster_second_speaker,cluster_second_score,cluster_margin,start,end,duration_sec,analysis_start,analysis_end,analysis_duration_sec,segment_best_speaker,segment_best_score,segment_second_speaker,segment_second_score,segment_margin,oki,takahara,tsuboi
0,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,0.385,0.885,0.5,0.235,1.035,0.8,tsuboi,0.136582,oki,0.091436,0.045146,0.091436,-0.028335,0.136582
1,SPEAKER_00,oki,oki,0.625461,tsuboi,0.405462,0.219999,1.085,1.485,0.4,0.885,1.685,0.8,oki,0.246912,tsuboi,0.184008,0.062904,0.246912,0.091266,0.184008
2,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,1.265,5.905,4.64,1.265,5.905,4.64,tsuboi,0.506583,takahara,0.254636,0.251947,0.160577,0.254636,0.506583
3,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,4.845,5.405,0.56,4.725,5.525,0.8,tsuboi,0.252335,takahara,0.168768,0.083567,0.059358,0.168768,0.252335
4,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,5.805,6.065,0.26,5.535,6.335,0.8,takahara,0.3322,tsuboi,0.167437,0.164763,0.067032,0.3322,0.167437
5,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,5.965,8.245,2.28,5.965,8.245,2.28,tsuboi,0.5114,oki,0.2545,0.2569,0.2545,0.224072,0.5114
6,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,7.425,7.725,0.3,7.175,7.975,0.8,takahara,0.149179,tsuboi,0.124415,0.024764,0.076953,0.149179,0.124415
7,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,8.645,10.845,2.2,8.645,10.845,2.2,oki,0.51538,takahara,0.311364,0.204016,0.51538,0.311364,0.277253
8,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,9.265,9.425,0.16,8.945,9.745,0.8,oki,0.479458,tsuboi,0.25427,0.225188,0.479458,0.137741,0.25427
9,SPEAKER_00,oki,oki,0.625461,tsuboi,0.405462,0.219999,9.425,10.165,0.74,9.395,10.195,0.8,oki,0.437992,tsuboi,0.143729,0.294263,0.437992,0.126496,0.143729
10,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,10.165,10.185,0.02,9.775,10.575,0.8,oki,0.274942,takahara,0.025609,0.249333,0.274942,0.025609,-0.010526
11,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,12.445,12.705,0.26,12.175,12.975,0.8,oki,0.258427,tsuboi,0.187445,0.070982,0.258427,0.054722,0.187445
12,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,12.705,13.145,0.44,12.525,13.325,0.8,oki,0.26297,takahara,0.201527,0.061443,0.26297,0.201527,0.15611
13,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,13.405,16.385,2.98,13.405,16.385,2.98,tsuboi,0.297751,takahara,0.285069,0.012682,0.165889,0.285069,0.297751
14,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,16.425,19.045,2.62,16.425,19.045,2.62,tsuboi,0.487309,oki,0.16027,0.327039,0.16027,0.135289,0.487309
15,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,19.705,19.985,0.28,19.445,20.245,0.8,oki,0.220489,tsuboi,0.186915,0.033574,0.220489,0.091535,0.186915
16,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,20.285,20.585,0.3,20.035,20.835,0.8,oki,0.039873,tsuboi,0.021812,0.018061,0.039873,-0.021,0.021812
17,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,20.705,21.425,0.72,20.665,21.465,0.8,takahara,0.193874,tsuboi,0.178725,0.015149,0.177217,0.193874,0.178725
18,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,21.705,26.625,4.92,21.705,26.625,4.92,tsuboi,0.380988,takahara,0.155207,0.225781,0.119716,0.155207,0.380988
19,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,27.025,28.845,1.82,27.025,28.845,1.82,tsuboi,0.513763,oki,0.242743,0.27102,0.242743,0.180104,0.513763
20,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,28.825,29.105,0.28,28.565,29.365,0.8,takahara,0.254161,tsuboi,0.240127,0.014034,0.104412,0.254161,0.240127
21,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,29.105,29.465,0.36,28.885,29.685,0.8,takahara,0.26759,tsuboi,0.245153,0.022437,0.14573,0.26759,0.245153
22,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,29.605,29.905,0.3,29.355,30.155,0.8,takahara,0.272637,tsuboi,0.126669,0.145968,0.112472,0.272637,0.126669
23,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,30.045,32.985,2.94,30.045,32.985,2.94,tsuboi,0.430387,oki,0.210212,0.220175,0.210212,0.187982,0.430387
24,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,32.325,32.945,0.62,32.235,33.035,0.8,tsuboi,0.282778,takahara,0.197593,0.085185,0.092229,0.197593,0.282778
